drug, smile
Telithromycin, CC[C@@H]1[C@@]2([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C
Methylergonovine, CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
ALPHAGAN P, C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O
Zarontin, CCC1(CC(=O)NC1=O)C
Levothyroxine sodium, C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)[O-])N.[Na+]
Lamotrigine, C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N
LEVULAN KERASTICK, C(CC(=O)O)C(=O)CN.Cl
6-mercaptopurine, C1=NC2=C(N1)C(=S)N=CN2
Lenalidomide, C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
Nitrosourea, C(=O)(N)NN=O
Epirubicin, C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
Mesalamine, C1=CC(=C(C=C1N)C(=O)O)O
Aleve, C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
Desethylamiodarone, CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCNCC)I
Frovatriptan, CN[C@@H]1CCC2=C(C1)C3=C(N2)C=CC(=C3)C(=O)N
Ethoxzolamide, CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N
Citalopram, CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
BARACLUDE, C=C1[C@H](C[C@@H]([C@H]1CO)O)N2C=NC3=C2N=C(NC3=O)N
Sodium colistimethate, CCC(C)CCCCC(=O)NC(CCNCS(=O)(=O)[O-])C(=O)NC(C(C)O)C(=O)NC(CCNCS(=O)(=O)[O-])C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCNCS(=O)(=O)[O-])CC(C)C)CC(C)C)CCNCS(=O)(=O)[O-])CCNCS(=O)(=O)[O-])C(C)O.[Na+].[Na+].[Na+].[Na+].[Na+]
Kaolin, O.O.O=[Al]O[Si](=O)O[Si](=O)O[Al]=O
Methaqualone, CC1=CC=CC=C1N2C(=NC3=CC=CC=C3C2=O)C
Vitamin C, C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
Labetalol HCl, CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O.Cl
Rofecoxib, CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3
EDECRIN, CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl
Losartan, CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl
Chloroprocaine, CCN(CC)CCOC(=O)C1=C(C=C(C=C1)N)Cl
Ethinyl Estradiol, C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O
Minocycline, CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C
Coumaphos, CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(=C(C(=O)O2)Cl)C
Trihexyphenidyl, C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O
Procaine, CCN(CC)CCOC(=O)C1=CC=C(C=C1)N
Aliskiren, CC(C)[C@@H](CC1=CC(=C(C=C1)OC)OCCCOC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N
Antiminth, CN1CCCN=C1/C=C/C2=CC=CS2.C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)O)O)C(=O)O
Nalbuphine, C1CC(C1)CN2CC[C@]34[C@@H]5[C@H](CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O)O
Fenfluramine, CCNC(C)CC1=CC(=CC=C1)C(F)(F)F
Cimetidine, CC1=C(N=CN1)CSCCNC(=NC)NC#N
Dexamethasone, C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
Lipitor, CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.[Ca+2]
L-tryptophan, C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N
Adrenaline, CNC[C@@H](C1=CC(=C(C=C1)O)O)O
HCTZ, C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
CHOLESTYRAMINE, CCC(C)C.CCC(CC(C)C1=CC=CC=C1)C2=CC=C(C=C2)C[N+](C)(C)C.N.[Cl-]
Budesonide, CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C
Accutane, CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C
Ferrous sulfate, [O-]S(=O)(=O)[O-].[Fe+2]
Doxapram, CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4
Thiabendazole, C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3
Tamsulosin, CCOC1=CC=CC=C1OCCN[C@H](C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N
DIAMOX, CC(=O)NC1=NN=C(S1)S(=O)(=O)N
APOKYN, CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O
Putrescine, C(CCN)CN
Salicylate, C1=CC=C(C(=C1)C(=O)O)[O-]
Sulfamethoxazole, CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
VISTIDE, C1=CN(C(=O)N=C1N)C[C@@H](CO)OCP(=O)(O)O
Diethylstilbestrol, CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O
Triamterene, C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N
Valsartan, CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O
Maprotiline, CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24
Adefovir dipivoxil, CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C
Dexfenfluramine, CCN[C@@H](C)CC1=CC(=CC=C1)C(F)(F)F
Enalaprilat, C[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N[C@@H](CCC2=CC=CC=C2)C(=O)O
DOXIL, C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
Ertapenem, C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)NC4=CC=CC(=C4)C(=O)O)C(=O)O)[C@@H](C)O
Ethosuximide, CCC1(CC(=O)NC1=O)C
Dopamine, C1=CC(=C(C=C1CCN)O)O
Natrecor, CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NCC(=O)NC(CSSCC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCNC(=N)N)CC(=O)O)CCSC)CCCCN)CCCNC(=N)N)CC2=CC=CC=C2)NC(=O)CNC(=O)C(CO)NC(=O)CNC(=O)C(CCC(=O)N)NC(=O)C(C(C)C)NC(=O)C(CCSC)NC(=O)C(CCCCN)NC(=O)C3CCCN3C(=O)C(CO)N)C(=O)NC(CCCCN)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC4=CN=CN4)C(=O)O)CC(C)C)CO)CO)CO)CO
TAO, C[C@@H]1C[C@@H]([C@H]([C@@H](O1)O[C@H]2[C@H](C[C@@]3(CO3)C(=O)[C@@H]([C@H]([C@H]([C@H](OC(=O)[C@@H]([C@H]([C@@H]2C)O[C@H]4C[C@@H]([C@H]([C@@H](O4)C)OC(=O)C)OC)C)C)C)OC(=O)C)C)C)OC(=O)C)N(C)C
Carbimazole, CCOC(=O)N1C=CN(C1=S)C
Leucovorin, C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
Salicylates, C1=CC=C(C(=C1)C(=O)O)[O-]
Ceftibuten, C1C=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)/C(=C\CC(=O)O)/C3=CSC(=N3)N)C(=O)O
Carbidopa, C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
Famciclovir, CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C
Phospholine Iodide, CCOP(=O)(OCC)SCC[N+](C)(C)C.[I-]
Tranexamic acid, C1CC(CCC1CN)C(=O)O
Rifampin, C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C
Kaletra, CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O.CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O
Permitil, C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO.Cl.Cl
Vitamin K, CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCCC(C)CCCC(C)CCCC(C)C
Alfentanil, CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC
Levorphanol, CN1CC[C@]23CCCC[C@H]2[C@H]1CC4=C3C=C(C=C4)O
L-tyrosine, C1=CC(=CC=C1C[C@@H](C(=O)O)N)O
Methyldopa, C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N
Quetiapine, C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42
Clofazimine, CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl
Prochlorperazine, CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl
Dantrolene, C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-]
Gestodene, CC[C@]12CC[C@H]3[C@H]([C@@H]1C=C[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34
Acetohydroxamic acid, CC(=O)NO
Guanadrel, C1CCC2(CC1)OCC(O2)CN=C(N)N
Doxazosin, COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC
Cilostazol, C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4
Cefprozil, C/C=C/C1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O
Deltasone, C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C
Trovafloxacin, C1[C@@H]2[C@@H](C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F
Levamisole hydrochloride, C1CSC2=N[C@H](CN21)C3=CC=CC=C3.Cl
Amiodarone, CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
Desyrel, C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl.Cl
